,,2013-14,,,
Inst,dist,district name,Total,Eligible for Free or Reduced Price Lunch,% of Eligible for Free or Reduced Price Lunch
11,1,Andover School District,298,43,14.4%
11,2,Ansonia School District,2316,1541,66.5%
11,3,Ashford School District,422,125,29.6%
11,4,Avon School District,3369,204,6.1%
11,5,Barkhamsted School District,306,23,7.5%
11,7,Berlin School District,2949,419,14.2%
11,8,Bethany School District,436,21,4.8%
11,9,Bethel School District,2989,555,18.6%
11,11,Bloomfield School District,2087,1077,51.6%
11,12,Bolton School District,862,117,13.6%
11,13,Bozrah School District,243,66,27.2%
11,14,Branford School District,3219,757,23.5%
11,15,Bridgeport School District,20710,20684,99.9%
11,17,Bristol School District,8193,3687,45.0%
11,18,Brookfield School District,2762,237,8.6%
11,19,Brooklyn School District,919,242,26.3%
11,21,Canaan School District,77,7,9.1%
11,22,Canterbury School District,458,110,24.0%
11,23,Canton School District,1688,164,9.7%
11,24,Chaplin School District,183,68,37.2%
11,25,Cheshire School District,4593,330,7.2%
11,26,Chester School District,228,29,12.7%
11,27,Clinton School District,1953,417,21.4%
11,28,Colchester School District,2727,420,15.4%
11,29,Colebrook School District,98,20,20.4%
11,30,Columbia School District,467,50,10.7%
11,31,Cornwall School District,105,22,21.0%
11,32,Coventry School District,1684,302,17.9%
11,33,Cromwell School District,1946,316,16.2%
11,34,Danbury School District,10762,4975,46.2%
11,35,Darien School District,4889,38,0.8%
11,36,Deep River School District,330,49,14.8%
11,37,Derby School District,1499,804,53.6%
11,39,Eastford School District,150,24,16.0%
11,40,East Granby School District,868,49,5.6%
11,41,East Haddam School District,1183,157,13.3%
11,42,East Hampton School District,1869,200,10.7%
11,43,East Hartford School District,7129,4546,63.8%
11,44,East Haven School District,3055,1527,50.0%
11,45,East Lyme School District,2863,339,11.8%
11,46,Easton School District,960,28,2.9%
11,47,East Windsor School District,1198,486,40.6%
11,48,Ellington School District,2657,275,10.4%
11,49,Enfield School District,5192,1876,36.1%
11,50,Essex School District,508,59,11.6%
11,51,Fairfield School District,10248,918,9.0%
11,52,Farmington School District,4001,351,8.8%
11,53,Franklin School District,181,34,18.8%
11,54,Glastonbury School District,6389,567,8.9%
11,56,Granby School District,2039,178,8.7%
11,57,Greenwich School District,8760,1299,14.8%
11,58,Griswold School District,1965,748,38.1%
11,59,Groton School District,4657,2145,46.1%
11,60,Guilford School District,3510,314,8.9%
11,62,Hamden School District,5745,2335,40.6%
11,63,Hampton School District,112,33,29.5%
11,64,Hartford School District,21250,17996,84.7%
11,65,Hartland School District,204,11,5.4%
11,67,Hebron School District,867,57,6.6%
11,68,Kent School District,272,38,14.0%
11,69,Killingly School District,2641,1094,41.4%
11,71,Lebanon School District,1146,187,16.3%
11,72,Ledyard School District,2550,518,20.3%
11,73,Lisbon School District,396,81,20.5%
11,74,Litchfield School District,984,137,13.9%
11,76,Madison School District,3278,180,5.5%
11,77,Manchester School District,6210,3412,54.9%
11,78,Mansfield School District,1245,306,24.6%
11,79,Marlborough School District,605,54,8.9%
11,80,Meriden School District,8099,5651,69.8%
11,83,Middletown School District,4782,2195,45.9%
11,84,Milford School District,6401,1326,20.7%
11,85,Monroe School District,3367,257,7.6%
11,86,Montville School District,2403,732,30.5%
11,88,Naugatuck School District,4344,1775,40.9%
11,89,New Britain School District,10038,8030,80.0%
11,90,New Canaan School District,4172,0,0.0%
11,91,New Fairfield School District,2726,281,10.3%
11,92,New Hartford School District,544,50,9.2%
11,93,New Haven School District,21304,14036,65.9%
11,94,Newington School District,4202,925,22.0%
11,95,New London School District,3068,2166,70.6%
11,96,New Milford School District,4484,892,19.9%
11,97,Newtown School District,4878,281,5.8%
11,98,Norfolk School District,116,18,15.5%
11,99,North Branford School District,2007,321,16.0%
11,100,North Canaan School District,295,64,21.7%
11,101,North Haven School District,3362,424,12.6%
11,102,North Stonington School Distri,750,148,19.7%
11,103,Norwalk School District,11091,5453,49.2%
11,104,Norwich School District,3740,2744,73.4%
11,106,Old Saybrook School District,1434,260,18.1%
11,107,Orange School District,1189,81,6.8%
11,108,Oxford School District,2044,151,7.4%
11,109,Plainfield School District,2451,1109,45.2%
11,110,Plainville School District,2312,655,28.3%
11,111,Plymouth School District,1564,363,23.2%
11,112,Pomfret School District,424,64,15.1%
11,113,Portland School District,1372,256,18.7%
11,114,Preston School District,422,88,20.9%
11,116,Putnam School District,1248,783,62.7%
11,117,Redding School District,1056,40,3.8%
11,118,Ridgefield School District,5266,157,3.0%
11,119,Rocky Hill School District,2418,279,11.5%
11,121,Salem School District,430,48,11.2%
11,122,Salisbury School District,279,43,15.4%
11,123,Scotland School District,133,40,30.1%
